stage	i	j	delta41	delta42	a41_float	a42_float	a41_rational	a42_rational	status	strict_target	rho	max_real	max_imag	err_Dr	err_Dr3	err_Dr5	err_Dr7	min_s	Vb_pd	V_full_pd	reason
coarse	-8	3	-8.0e-5	3.0e-5	-7.962934183851815e-5	2.9277421092395248e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	159732802972564341741622740698587371796677083//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	4	-8.0e-5	4.0e-5	-7.962934183851815e-5	3.927742109239525e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	53572790315295599985504225749968490401267361//1363958957215451455009854057532164745209809025000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	5	-8.0e-5	5.0e-5	-7.962934183851815e-5	4.927742109239525e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	53769903909960091628482213060232110282692361//1091167165772361164007883246025731796167847220000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	6	-8.0e-5	6.0e-5	-7.962934183851815e-5	5.927742109239525e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	161703938919209258171402613801223570610927083//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	7	-8.0e-5	7.0e-5	-7.962934183851815e-5	6.927742109239524e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	377966236127036574543199389903733731030246527//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	8	-8.0e-5	8.0e-5	-7.962934183851815e-5	7.927742109239525e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	54065574301956829092949194025627540104829861//681979478607725727504927028766082372604904512500	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	9	-8.0e-5	9.0e-5	-7.962934183851815e-5	8.927742109239525e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	487082952704272690943987714506306910647031249//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	10	-8.0e-5	0.0001	-7.962934183851815e-5	9.927742109239525e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	54164131099289074914438187680759350045542361//545583582886180582003941623012865898083923610000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-7	-10	-7.0e-5	-0.0001	-6.962934183851815e-5	-0.00010072257890760476	-170293839767396498177158570696094877003696719//2445719509489775022776290034195605750031381700000	-54952585477947041486350136921813829571242361//545583582886180582003941623012865898083923610000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-7	-9	-7.0e-5	-9.0e-5	-6.962934183851815e-5	-9.072257890760476e-5	-170293839767396498177158570696094877003696719//2445719509489775022776290034195605750031381700000	-494967496490852356663107206916851705904031249//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-7	-8	-7.0e-5	-8.0e-5	-6.962934183851815e-5	-8.072257890760475e-5	-170293839767396498177158570696094877003696719//2445719509489775022776290034195605750031381700000	-55051142275279287307839130576945639511954861//681979478607725727504927028766082372604904512500	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-7	-7	-7.0e-5	-7.0e-5	-6.962934183851815e-5	-7.072257890760475e-5	-170293839767396498177158570696094877003696719//2445719509489775022776290034195605750031381700000	-385850779913616240262318882314278526287246527//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-7	-6	-7.0e-5	-6.0e-5	-6.962934183851815e-5	-6.0722578907604755e-5	-170293839767396498177158570696094877003696719//2445719509489775022776290034195605750031381700000	-165646210812499091030962360006495968239427083//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
